,Start,End,where,country,Recovered,Deaths,Total Cases,Lat,Long,duration,Sm,Sy,Em,Ey,Duration
0,09/1998,04/1999,Perak,M,160,105,265,4.5921129999999994,101.0901093,,9,1998,4,1999,212
1,09/1998,04/1999,selangor,M,160,105,265,3.0738380000000003,101.51834699999999,,9,1998,4,1999,212
2,09/1998,04/1999,Negeri Sembilan,M,160,105,265,2.725806,101.942378,,9,1998,4,1999,212
3,03/1999,04/1999,Singapore,S,10,1,11,1.352083,103.819836,,3,1999,4,1999,31
4,02/2001,03/2001,Siliguri,I,21,45,66,26.727101,88.395286,,2,2001,3,2001,28
5,04/2001,05/2001,Meherpur,B,4,9,13,23.805198999999998,88.672358,,4,2001,5,2001,30
6,01/2003,02/2003,Naogaon,B,4,8,12,24.91316,88.753095,,1,2003,2,2003,31
7,01/2004,02/2004,Goalando,B,7,22,29,23.684042,89.699655,,1,2004,2,2004,31
8,04/2004,05/2004,Faridpur,B,9,27,36,23.542392,89.630892,,4,2004,5,2004,30
9,01/2005,03/2005,Tangail,B,1,11,12,24.251345,89.91671,,1,2005,3,2005,59
10,01/2007,02/2007,Thakurgaon,B,4,3,7,26.041839000000003,88.428262,,1,2007,2,2007,31
11,03/2007,04/2007,Kushtia,B,3,5,8,23.8907,89.109937,,3,2007,4,2007,31
12,04/2007,05/2007,Nadia,I,0,5,5,23.470966,88.556531,,4,2007,5,2007,30
13,02/2008,03/2008,Manikgonj,I,5,6,11,26.301683,88.734965,,2,2008,3,2008,29
14,02/2008,03/2008,Rajbari,I,5,6,11,22.642992,88.42234599999999,,2,2008,3,2008,29
15,04/2008,05/2008,Jessire India,I,1,1,2,20.593684,78.96288,,4,2008,5,2008,30
16,04/2008,05/2008,Satkhira,I,1,1,2,22.667845,88.95036400000001,,4,2008,5,2008,30
17,01/2009,02/2009,Gaibandha,B,3,0,3,25.329693,89.542965,,1,2009,2,2009,31
18,01/2009,02/2009,Rangpur,B,3,0,3,25.743892000000002,89.275227,,1,2009,2,2009,31
19,01/2009,02/2009, Nilphamari,B,3,0,3,25.84828,88.941413,,1,2009,2,2009,31
